support,itemsets
0.618944,olarak
0.584237,olan
0.543745,olduğunu
0.422993,olduğu
0.40564,dedi
0.403471,söyledi
0.403471,önemli
0.400578,"olan, olarak"
0.370933,fazla
0.36804,sonra
0.357918,"olduğunu, olarak"
0.346349,sağlık
0.344179,yapılan
0.341287,tedavi
0.336949,eden
0.329718,"olduğunu, olan"
0.328995,ifade
0.32321,özellikle
0.316703,konuştu
0.313087,ortaya
0.308749,"olarak, önemli"
0.296457,"olduğunu, söyledi"
0.295734,büyük
0.286334,üniversitesi
0.286334,"olduğunu, dedi"
0.28055,"olan, önemli"
0.279826,dikkat
0.277657,son
0.276934,prof
0.273319,"olduğu, olarak"
0.271873,arasında
0.27115,"dedi, söyledi"
0.270427,"olduğunu, önemli"
0.26898,önce
0.268257,"dedi, olarak"
0.266088,ilgili
0.264642,belirten
0.263919,devam
0.259581,etti
0.258134,"olarak, söyledi"
0.255242,"olduğu, olan"
0.254519,"dedi, olan"
0.251627,"olarak, sonra"
0.250904,"olduğunu, ifade"
0.250181,şöyle
0.249458,"olarak, fazla"
0.249458,"olan, söyledi"
0.246565,"olduğunu, konuştu"
0.246565,zaman
0.246565,diğer
0.245842,"olduğunu, olduğu"
0.245842,yüzde
0.244396,yol
0.241504,hastalıkları
0.241504,"olan, sonra"
0.241504,"tedavi, olarak"
0.240058,yıl
0.239335,şekilde
0.237889,bunun
0.237889,"söyledi, konuştu"
0.237166,ilk
0.236443,yüksek
0.234273,"tedavi, olan"
0.23355,"olan, fazla"
0.232827,iyi
0.232827,"dedi, konuştu"
0.231381,"olarak, eden"
0.229935,"olarak, özellikle"
0.228489,"olduğunu, eden"
0.228489,"olan, özellikle"
0.228489,"olduğunu, olan, olarak"
0.228489,bağlı
0.227766,nedeniyle
0.227043,gerektiğini
0.22632,"olduğunu, fazla"
0.225597,kaydetti
0.224873,tarafından
0.223427,tıp
0.222704,"ifade, olarak"
0.222704,"sağlık, olarak"
0.221258,"olarak, yapılan"
0.220535,"olduğunu, sonra"
0.220535,yeni
0.219812,"olan, olarak, önemli"
0.218366,sadece
0.21692,"ifade, söyledi"
0.215474,içinde
0.214751,"ifade, eden"
0.214027,"olarak, son"
0.212581,"olarak, ortaya"
0.212581,var
0.209689,olması
0.209689,"olarak, konuştu"
0.208966,"olarak, büyük"
0.208966,"olduğunu, dedi, söyledi"
0.208243,"olduğu, önemli"
0.206797,sağlıklı
0.206074,"olduğunu, olarak, önemli"
0.206074,kalp
0.205351,"olan, yapılan"
0.204628,belirtti
0.204628,uzun
0.203905,uzmanı
0.203181,"söyledi, eden"
0.203181,"olan, eden"
0.202458,"olan, konuştu"
0.201735,"olduğunu, üniversitesi"
0.201012,"olan, büyük"
0.201012,şunları
